Year,        Fuel ethanol (Mb/d),        Biomass-based diesel (Mb/d),Coal (Mst),Coal (Mt),    Generation (billion kWh)
1980,0,0,121502.1198,133933.0016,119.26
1981,0,0,132829.4573,146419.2391,131.12
1982,0,0,141607.1518,156094.9795,139.41
1983,0,0,149479.8499,164773.1333,144.987
1984,0,0,161234.8837,177730.8247,161.739
1985,0,0,168076.9219,185272.8717,174.93
1986,0,0,185143.9876,204086.069,191.896
1987,0,0,200365.7864,220865.21,208.235
1988,0,0,218795.3073,241180.2552,229.432
1989,0,0,224927.4578,247939.786,255.104
1990,0,0,241898.6226,266647.2706,275.495
1991,0,0,263379.3375,290325.6776,300.311
1992,0,0,274368.2659,302438.8832,315.973
1993,0,0,282433.8682,311329.6773,339.346877
1994,0,0,293321.3841,323331.0949,366.118
1995,0,0,313552.0795,345631.5928,396.074
1996,0,0,331499.8909,365415.6448,412.682
1997,0,0,343455.5452,378594.482,441.169
1998,0,0,346736.0197,382210.5819,470.765
1999,0,0,350016.4943,385826.6818,504.536
2000,2.9,0,362804.3926,399922.91,614.0728
2001,3,0,379742.4881,418593.942,633.9929
2002,3.2,0,395713.8577,436199.3424,668.258
2003,3.3,0,420623.859,463657.8861,710.336
2004,3.5,0,446682.4674,492382.5507,746.9999
2005,3.7,0.2,473265.7754,521685.5969,777.957
2006,3.44418624,0,500118.047,551285.1244,835.564
2007,3.44418624,0,531520.6543,585900.5324,849.3555
2008,4.82186073,0,544930.8087,600682.6797,879.3816
2009,1.72209312,1.29156984,548559.0641,604682.142,905.1688
2010,0.86104656,1.72209312,578215.6082,637372.8471,954.521
2011,6.28563988,1.91152336,590753.0066,651192.9467,1002.5798
2012,5.25238401,2.16983733,608792.0341,671077.5471,1039.2633
2013,6.57839571,2.27316292,621071.7675,684613.6201,1181.4188
2014,6.11343057,2.3764885,659542.3865,727020.1681,1327.4073
2015,7.40500041,2.61758154,696348.5174,767591.9342,1352.7352
2016,7.74941903,2.72090713,720039.9151,793707.1988,1382.8857
2017,12.14075648,2.9275583,739669.3004,815344.8666,1433.5269
2018,25.83139677,3.18587227,788581.5509,869261.3294,1489.0739
2019,33.06418787,3.96081417,805052.8181,887417.7719,1534.9214
2020,36.50837411,3.44418624,793417.936,874592.5251,1473.4109
2021,64.49238728,3.09976761,839962.9758,925899.5878,1641.4224
2022,86.10465591,3.18587227,857817.642,945580.965,1760.278946
